"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2020","2430.69","2431.44","2432.17","2428.73","","-0.03%"
"02/14/2020","2431.37","2429.32","2432.25","2425.30","","0.06%"
"02/13/2020","2429.89","2433.95","2434.49","2420.96","","-0.21%"
"02/12/2020","2434.95","2421.72","2434.95","2420.87","","0.57%"
"02/11/2020","2421.26","2412.73","2430.14","2412.72","","0.34%"
"02/10/2020","2413.10","2403.52","2413.10","2397.12","","0.35%"
"02/07/2020","2404.75","2416.56","2416.66","2401.12","","-0.49%"
"02/06/2020","2416.48","2405.10","2417.48","2405.09","","0.48%"
"02/05/2020","2404.96","2383.61","2406.20","2383.61","","0.91%"
"02/04/2020","2383.30","2351.21","2388.03","2350.55","","1.35%"
"02/03/2020","2351.45","2342.14","2361.26","2338.51","","0.39%"
"01/31/2020","2342.41","2371.64","2374.68","2337.97","","-1.25%"
"01/30/2020","2372.01","2374.43","2374.78","2351.68","","-0.06%"
"01/29/2020","2373.52","2373.77","2383.07","2371.95","","0.04%"
"01/28/2020","2372.52","2355.87","2377.71","2352.94","","0.70%"
"01/27/2020","2356.09","2396.25","2396.58","2354.15","","-1.64%"
"01/24/2020","2395.31","2406.23","2415.43","2389.24","","-0.45%"
"01/23/2020","2406.14","2410.86","2411.19","2395.44","","-0.17%"
"01/22/2020","2410.23","2408.55","2419.06","2408.52","","0.04%"
"01/21/2020","2409.29","2415.62","2415.62","2406.77","","-0.24%"
"01/20/2020","2415.03","2415.19","2416.53","2413.95","","-0.02%"
"01/17/2020","2415.51","2407.19","2415.51","2406.42","","0.39%"
"01/16/2020","2406.17","2393.16","2406.18","2392.41","","0.59%"
"01/15/2020","2392.06","2388.32","2396.93","2386.35","","0.15%"
"01/14/2020","2388.50","2388.41","2394.27","2385.46","","0.01%"
"01/13/2020","2388.25","2377.24","2388.49","2375.71","","0.45%"
"01/10/2020","2377.62","2380.47","2386.53","2375.80","","-0.09%"
"01/09/2020","2379.85","2365.75","2380.67","2365.69","","0.55%"
"01/08/2020","2366.93","2362.94","2372.28","2357.32","","0.19%"
"01/07/2020","2362.43","2365.97","2371.67","2359.76","","-0.09%"
"01/06/2020","2364.49","2360.98","2364.66","2348.78","","0.06%"
"01/03/2020","2363.12","2373.88","2375.75","2357.68","","-0.54%"
"01/02/2020","2375.94","2358.01","2375.94","2357.16","","0.74%"
"01/01/2020","2358.48","2358.25","2358.48","2358.03","","0.00%"
"12/31/2019","2358.47","2353.24","2358.52","2350.34","","0.22%"
"12/30/2019","2353.25","2365.60","2366.87","2351.65","","-0.49%"
"12/27/2019","2364.90","2361.08","2369.20","2360.69","","0.20%"
"12/26/2019","2360.21","2351.45","2360.64","2351.40","","0.38%"
"12/25/2019","2351.22","2351.31","2351.73","2349.92","","-0.03%"
"12/24/2019","2351.84","2351.47","2352.21","2349.49","","0.05%"
"12/23/2019","2350.75","2349.13","2352.75","2348.65","","0.04%"
